Show_Name,Episode_Number,Viewer_Count,IMDB_Rating
X-Files,1,"2,596",8.6
X-Files,2,"2,167",8.4
X-Files,3,"2,133",8.5
X-Files,4,"2,225",8.3
X-Files,5,"2,041",7.8
X-Files,6,"1,914",7.6
X-Files,7,"2,064",8.5
X-Files,8,"2,063",8.4
X-Files,9,"1,937",8
X-Files,10,"1,853",7.7
X-Files,11,"1,841",7.5
X-Files,12,"1,823",7.9
X-Files,13,"5,972",8
X-Files,14,"2,171",8.1
X-Files,15,"3,723",7.1
X-Files,16,"1,826",7
X-Files,17,"1,828",7
X-Files,18,"2,062",7.2
X-Files,19,"2,050",8
X-Files,20,"2,045",8.1
X-Files,21,"1,969",8
X-Files,22,"1,983",8.6
X-Files,23,"2,299",8.9
X-Files,24,"1,819",7.1
X-Files,25,"1,856",7.7
X-Files,26,"1,743",7.7
X-Files,27,"1,758",7.5
X-Files,28,"1,839",7.7
X-Files,29,"1,670",7.2
X-Files,30,"1,748",7.5
X-Files,31,"1,885",7.9
X-Files,32,"7,309",8
X-Files,33,"1,937",7.5
X-Files,34,"3,535",7.2
X-Files,35,"4,268",9.1
X-Files,36,"2,765",7.1
X-Files,37,"2,578",8.1
X-Files,38,"2,671",8.8
X-Files,39,"2,317",8.8
X-Files,40,"2,064",7.7
X-Files,41,"2,299",8.5
X-Files,42,"1,984",8.3
X-Files,43,"1,981",8.1
X-Files,44,"1,856",7.5
X-Files,45,"1,813",7.6
X-Files,46,"1,838",7.4
X-Files,47,"1,737",7.3
X-Files,48,"8,145",8
X-Files,49,"3,652",9.2
X-Files,50,"3,123",8.7
X-Files,51,"2,841",7.3
X-Files,52,"2,870",7.8
X-Files,53,"3,131",8.3
X-Files,54,"2,997",8.5
X-Files,55,"3,067",8.2
X-Files,56,"2,610",8
X-Files,57,"2,848",8.8
X-Files,58,"3,034",9.1
X-Files,59,"2,415",8
X-Files,60,"1,834",7.4
X-Files,61,"3,513",7.3
X-Files,62,"3,517",7.8
X-Files,63,"3,939",8.8
X-Files,64,"3,569",6.5
X-Files,65,"2,914",7.3
X-Files,66,"3,120",7.8
X-Files,67,"3,179",8.8
X-Files,68,"4,000",8.8
X-Files,69,"3,048",8.6
X-Files,70,"3,449",8.7
X-Files,71,"4,664",9
X-Files,72,"2,886",8.7
X-Files,73,"3,315",8.9
X-Files,74,"2,660",6.9
X-Files,75,"2,759",8.6
X-Files,76,"2,637",8.3
X-Files,77,"2,924",8.6
X-Files,78,"4,005",8.7
X-Files,79,"3,011",8.6
X-Files,80,"2,569",8.1
X-Files,81,"2,094",6.8
X-Files,82,"3,048",8.5
X-Files,83,"2,649",6.3
X-Files,84,"2,637",7.2
X-Files,85,"2,538",7.6
X-Files,86,"2,277",6.2
X-Files,87,"3,650",7.2
X-Files,88,"4,224",8.5
X-Files,89,"3,207",8
X-Files,90,"3,895",9.3
X-Files,91,"2,977",7.2
X-Files,92,"2,940",7.6
X-Files,93,"3,028",8.7
X-Files,94,"4,762",9
X-Files,95,"2,992",8.5
X-Files,96,"2,927",7.7
X-Files,97,"2,570",7.8
X-Files,98,"3,102",8.3
X-Files,99,"2,548",7.9
X-Files,100,"2,978",7.7
X-Files,101,"2,832",8
X-Files,102,"2,472",8.3
X-Files,103,"2,574",8.4
X-Files,104,"2,720",7.9
X-Files,105,"2,261",8
X-Files,106,"2,322",8.1
X-Files,107,"2,305",7.8
X-Files,108,"2,280",8.2
X-Files,109,"2,081",7.8
X-Files,110,"4,299",8
X-Files,111,"4,100",8.6
X-Files,112,"4,400",8.6
X-Files,113,"3,598",8.5
X-Files,114,"3,222",7.6
X-Files,115,"3,066",7.2
X-Files,116,"3,137",6.5
X-Files,117,"3,219",7.6
X-Files,118,"3,212",7.6
X-Files,119,"3,409",8.7
X-Files,120,"3,569",8
X-Files,121,"3,410",7.8
X-Files,122,"2,791",6
X-Files,123,"2,949",8.6
X-Files,124,"2,833",8.4
X-Files,125,"2,919",8.6
X-Files,126,"2,678",7.1
X-Files,127,"2,701",8.6
X-Files,128,"4,811",9.4
X-Files,129,"2,519",7.6
X-Files,130,"2,895",8.7
