Episode_Number,Season,Episode,Viewer_Count,IMDB_Rating
1,1,1,"24,460",9
2,1,2,"17,628",8.7
3,1,3,"17,074",8.8
4,1,4,"16,552",8.3
5,1,5,"16,239",8.4
6,1,6,"18,855",9.3
7,1,7,"16,549",8.9
8,2,1,"14,815",8.7
9,2,2,"17,274",9.3
10,2,3,"14,361",8.4
11,2,4,"14,495",8.3
12,2,5,"14,057",8.4
13,2,6,"15,558",8.9
14,2,7,"14,033",8.7
15,2,8,"16,570",9.2
16,2,9,"16,076",9.2
17,2,10,"13,750",8.6
18,2,11,"14,210",8.9
19,2,12,"16,000",9.3
20,2,13,"15,992",9.3
21,3,1,"13,626",8.6
22,3,2,"13,206",8.7
23,3,3,"13,245",8.5
24,3,4,"13,476",8.3
25,3,5,"12,844",8.7
26,3,6,"15,349",9.3
27,3,7,"18,996",9.6
28,3,8,"13,309",8.8
29,3,9,"13,190",8.5
30,3,10,"23,288",7.8
31,3,11,"13,062",8.5
32,3,12,"18,351",9.5
33,3,13,"20,644",9.7
34,4,1,"16,533",9.2
35,4,2,"13,695",8.3
36,4,3,"13,828",8.1
37,4,4,"12,933",8.7
38,4,5,"12,959",8.7
39,4,6,"13,126",8.5
40,4,7,"13,669",8.9
41,4,8,"15,422",9.3
42,4,9,"13,795",8.9
43,4,10,"19,462",9.6
44,4,11,"22,505",9.7
45,4,12,"17,468",9.5
46,4,13,"42,062",9.9
47,5,1,"19,465",9.3
48,5,2,"16,389",8.9
49,5,3,"15,911",8.9
50,5,4,"16,025",8.9
51,5,5,"23,812",9.7
52,5,6,"16,401",9.1
53,5,7,"21,080",9.6
54,5,8,"21,714",9.6
55,5,9,"21,109",9.5
56,5,10,"18,329",9.2
57,5,11,"22,560",9.6
58,5,12,"19,137",9.2
59,5,13,"32,232",9.8
60,5,14,"121,747",10
61,5,15,"32,544",9.7
62,5,16,"86,182",9.9
