Episode_Number,Season,Episode,Viewer_Count,IMDB_Rating
1,1,1,"7,289",8.8
2,1,2,"5,058",8.3
3,1,3,"4,727",8.4
4,1,4,"4,638",8.7
5,1,5,"4,454",8.6
6,1,6,"4,654",9
7,1,7,"4,339",8.8
8,1,8,"4,641",9
9,1,9,"4,217",8.6
10,1,10,"4,759",9.2
11,1,11,"4,846",9.3
12,1,12,"7,488",9.6
13,2,1,"4,325",8.8
14,2,2,"3,924",8.6
15,2,3,"3,883",8.7
16,2,4,"3,713",8.5
17,2,5,"3,841",8.7
18,2,6,"3,721",8.6
19,2,7,"3,779",8.8
20,2,8,"3,928",9.1
21,2,9,"4,362",9.4
22,2,10,"3,812",9
23,2,11,"3,815",9
24,2,12,"4,641",9.2
25,3,1,"3,703",8.3
26,3,2,"3,456",8.5
27,3,3,"3,340",8.2
28,3,4,"3,302",8.2
29,3,5,"3,273",8.5
30,3,6,"3,239",8.3
31,3,7,"3,343",8.5
32,3,8,"3,279",8.6
33,3,9,"3,335",8.8
34,3,10,"3,534",9.1
35,3,11,"3,379",8.9
36,3,12,"3,662",8.9
37,4,1,"3,764",8.7
38,4,2,"3,352",8.7
39,4,3,"3,249",8.3
40,4,4,"3,831",9.2
41,4,5,"3,481",9
42,4,6,"3,293",8.7
43,4,7,"3,226",8.5
44,4,8,"3,237",8.6
45,4,9,"4,552",9.4
46,4,10,"3,775",9.2
47,4,11,"4,903",9.5
48,4,12,"10,540",9.8
49,5,1,"4,212",8.9
50,5,2,"3,200",8.3
51,5,3,"3,144",8.5
52,5,4,"3,127",8.5
53,5,5,"3,076",8.1
54,5,6,"3,354",8.8
55,5,7,"3,064",8.5
56,5,8,"3,250",8.9
57,5,9,"3,388",9
58,5,10,"3,396",9
59,5,11,"3,237",8.9
60,5,12,"3,936",8.9
61,6,1,"4,262",8.6
62,6,2,"3,272",8.1
63,6,3,"3,144",8.2
64,6,4,"3,157",8.5
65,6,5,"3,079",8.1
66,6,6,"3,189",8.5
67,6,7,"3,389",7.9
68,6,8,"3,017",7.9
69,6,9,"3,338",8.5
70,6,10,"3,013",8.1
71,6,11,"3,143",8.4
72,6,12,"5,144",9.2
73,7,1,"7,568",9.5
74,7,2,"3,954",8.8
75,7,3,"3,578",8.7
76,7,4,"3,693",8.9
77,7,5,"3,310",8.6
78,7,6,"3,357",8.3
79,7,7,"3,318",8.5
80,7,8,"3,931",8.9
81,7,9,"3,290",8.6
82,7,10,"3,171",8.5
83,7,11,"3,528",9
84,7,12,"5,390",9.3
85,8,1,"4,807",8.6
86,8,2,"3,490",8.1
87,8,3,"3,353",8.1
88,8,4,"3,372",8.1
89,8,5,"3,249",7.9
90,8,6,"3,266",7.8
91,8,7,"3,368",7.6
92,8,8,"3,633",8.1
93,8,9,"3,561",7.4
94,8,10,"4,009",6.9
95,8,11,"4,281",7.2
96,8,12,"17,365",4.6
