Episode_Number,Season,Episode,Viewer_Count,IMDB_Rating
1,1,1,"7,014",8.3
2,1,2,"5,295",8
3,1,3,"4,988",8.2
4,1,4,"4,833",8.1
5,1,5,"4,801",8.5
6,1,6,"4,607",8.1
7,1,7,"5,900",9
8,1,8,"4,493",8.1
9,1,9,"4,359",8.2
10,1,10,"4,385",8.1
11,1,11,"4,328",8.2
12,1,12,"4,246",8.2
13,1,13,"4,527",8.7
14,1,14,"4,181",8.3
15,1,15,"4,221",8.2
16,1,16,"4,150",8.1
17,1,17,"4,205",8.5
18,1,18,"4,685",8.8
19,1,19,"4,037",8.1
20,1,20,"4,042",7.9
21,1,21,"4,075",7.9
22,1,22,"4,031",8.3
23,1,23,"4,251",8.7
24,1,24,"4,537",8.9
25,2,1,"4,129",8.5
26,2,2,"3,977",8.2
27,2,3,"3,982",8.4
28,2,4,"3,854",8
29,2,5,"3,855",8.3
30,2,6,"4,132",8.6
31,2,7,"4,675",9
32,2,8,"3,876",8.5
33,2,9,"3,717",8
34,2,10,"3,879",8
35,2,11,"3,817",8.1
36,2,12,"4,025",8.6
37,2,13,"4,178",8.8
38,2,14,"6,166",9.4
39,2,15,"4,230",8.9
40,2,16,"3,729",8.6
41,2,17,"3,693",8.3
42,2,18,"3,689",8.5
43,2,19,"3,789",8.5
44,2,20,"3,577",8.2
45,2,21,"3,626",8.2
46,2,22,"4,513",9
47,2,23,"3,642",8.1
48,2,24,"3,615",8.2
49,3,1,"3,777",8.4
50,3,2,"5,031",9
51,3,3,"3,590",8.1
52,3,4,"3,464",8.1
53,3,5,"3,567",8.1
54,3,6,"4,652",9.1
55,3,7,"3,505",8.3
56,3,8,"3,518",8.4
57,3,9,"4,937",9
58,3,10,"3,528",8.1
59,3,11,"3,658",8.6
60,3,12,"3,466",8.2
61,3,13,"3,481",8.2
62,3,14,"3,461",7.8
63,3,15,"3,729",8.5
64,3,16,"4,532",9.1
65,3,17,"3,420",8.3
66,3,18,"3,540",8.4
67,3,19,"3,413",8.2
68,3,20,"3,388",8.1
69,3,21,"3,638",8.7
70,3,22,"3,443",8.2
71,3,23,"3,379",8.1
72,3,24,"3,520",8.1
73,3,25,"3,893",8.8
74,4,1,"4,444",9.1
75,4,2,"3,448",8.1
76,4,3,"3,472",8.5
77,4,4,"3,390",8.2
78,4,5,"3,426",8.4
79,4,6,"3,510",8.5
80,4,7,"3,568",8.7
81,4,8,"4,478",9.1
82,4,9,"3,308",7.9
83,4,10,"3,280",8
84,4,11,"3,497",8.5
85,4,12,"6,553",9.5
86,4,13,"3,274",8.2
87,4,14,"3,300",8.2
88,4,15,"3,455",8.5
89,4,16,"3,326",8.2
90,4,17,"3,476",8.6
91,4,18,"3,271",8.3
92,4,19,"3,448",8.7
93,4,20,"3,383",8.5
94,4,21,"3,652",7.2
95,4,22,"3,314",8.5
96,4,23,"3,619",8.7
97,4,24,"4,556",9.2
98,5,1,"3,902",8.9
99,5,2,"3,981",9
100,5,3,"3,610",8.8
101,5,4,"3,252",8.3
102,5,5,"3,496",8.8
103,5,6,"3,246",8
104,5,7,"3,277",8.4
105,5,8,"4,585",9.2
106,5,9,"4,217",9.1
107,5,10,"3,213",8.2
108,5,11,"4,081",9.1
109,5,12,"3,187",8.3
110,5,13,"3,203",8.1
111,5,14,"8,714",9.7
112,5,15,"3,380",8.5
113,5,16,"3,440",8.6
114,5,17,"3,227",8.5
115,5,18,"3,133",8
116,5,19,"3,500",8.7
117,5,20,"3,122",8.3
118,5,21,"3,254",8.5
119,5,22,"3,096",8.3
120,5,23,"3,537",8.8
