Episode_Number,Season,Episode,Viewer_Count,IMDB_Rating
1,1,1,"2,818",8.7
2,1,2,"2,207",8.1
3,1,3,"2,168",8.3
4,1,4,"2,062",8.3
5,1,5,"1,934",8
6,1,6,"2,034",8.4
7,1,7,"1,913",8
8,1,8,"1,897",8.1
9,1,9,"1,972",8.2
10,2,1,"1,962",8.3
11,2,2,"1,837",7.8
12,2,3,"1,775",8.1
13,2,4,"1,986",8.4
14,2,5,"1,697",7.8
15,2,6,"1,717",8.1
16,2,7,"1,663",7.8
17,2,8,"1,801",8.2
18,2,9,"1,725",8.1
19,2,10,"1,584",7.6
20,2,11,"1,572",7.6
21,2,12,"1,556",7.7
22,2,13,"1,660",8.2
23,2,14,"1,620",8.2
24,2,15,"1,542",7.6
25,2,16,"1,628",7.9
26,2,17,"1,530",7.7
27,2,18,"1,714",8.6
28,2,19,"1,536",7.9
29,2,20,"1,767",8.6
30,3,1,"1,559",7.6
31,3,2,"1,757",8.5
32,3,3,"1,513",7.4
33,3,4,"1,932",9
34,3,5,"2,023",8.8
35,3,6,"1,439",7.3
36,3,7,"1,633",8.5
37,3,8,"1,463",7.2
38,3,9,"1,447",7.6
39,3,10,"3,395",9.5
40,3,11,"1,451",7.8
41,3,12,"1,557",8.2
42,3,13,"1,453",7.4
43,3,14,"1,664",8.4
44,3,15,"1,478",7.7
45,4,1,"2,117",9.1
46,4,2,"1,462",7.8
47,4,3,"1,549",8.4
48,4,4,"1,453",7.8
49,4,5,"1,749",8.7
50,4,6,"1,405",7.6
51,4,7,"1,448",7.7
52,4,8,"2,136",8.9
53,4,9,"1,415",7.8
54,4,10,"1,373",7
55,4,11,"1,385",7.7
56,4,12,"1,769",8.3
57,5,1,"1,367",8
58,5,2,"4,439",9.6
59,5,3,"1,343",7.4
60,5,4,"1,363",8
61,5,5,"1,387",7.7
62,5,6,"1,368",7.8
63,5,7,"1,446",8.4
64,5,8,"1,602",8.8
65,5,9,"2,304",9.2
66,5,10,"1,740",8.9
67,5,11,"1,454",8.3
68,5,12,"1,367",7.7
69,5,13,"1,349",7.3
70,5,14,"1,340",7.8
71,5,15,"1,342",7.6
72,5,16,"2,343",9.2
73,6,1,"1,667",7.9
74,6,1,20,8.4
75,6,2,"1,471",7.1
76,6,2,20,8.7
77,6,3,"1,514",7.8
78,6,3,20,8.5
79,6,4,"1,338",7.3
80,6,4,21,8.7
81,6,5,"1,367",7.3
82,6,5,18,7.6
83,6,6,"1,724",8.7
84,6,6,18,7.7
85,6,7,"2,744",9.4
86,6,7,18,7.6
87,6,8,"1,263",7.4
88,6,8,18,7.7
89,6,9,"1,310",7.9
90,6,9,17,7.8
91,6,10,"1,356",8.4
92,6,10,17,7.9
93,6,11,"1,163",7.3
94,6,11,19,7.8
95,6,12,"1,126",7.6
96,6,12,19,7.8
97,6,13,"1,202",6.5
98,6,13,18,7.7
99,6,14,"1,205",7.5
100,6,14,17,7.6
101,6,15,"1,184",7.7
102,6,15,18,7.6
103,6,16,"1,081",7.6
104,6,16,19,7.8
105,6,17,"1,168",8.1
106,6,18,"1,073",7.6
107,6,19,"1,078",6.9
108,6,20,"1,036",7.4
109,6,21,"1,057",7.4
110,6,22,994,7.3
111,6,23,"1,075",7.8
112,6,24,"1,060",7.7
113,6,25,"1,105",8
114,6,26,"1,243",8
115,7,1,"1,254",7.7
116,7,2,"1,074",7.6
117,7,3,"1,108",7.5
118,7,4,"1,010",7.3
119,7,5,997,7.1
120,7,6,"1,003",7
121,7,7,"1,017",7.5
122,7,8,"1,035",7.7
123,7,9,969,7.3
124,7,10,997,7.7
125,7,11,938,7.6
126,7,12,963,7.2
127,7,13,"1,110",7.3
128,7,14,973,7.3
129,7,15,978,8
130,7,16,930,7.4
131,7,17,968,6.7
132,7,18,934,7.3
133,7,19,"1,145",6.9
134,7,20,937,7.2
135,7,21,932,7.2
136,7,22,906,7.1
137,7,23,"1,391",8.5
138,7,24,"1,173",8.5
139,7,25,"1,138",8
140,7,26,"2,714",9.4
