Episode_Number,Season,Episode,Viewer_Count,IMDB_Rating
1,1,1,"39,850",9.1
2,1,2,"30,225",8.8
3,1,3,"28,579",8.7
4,1,4,"27,123",8.8
5,1,5,"28,230",9.1
6,1,6,"27,936",9.2
7,1,7,"28,428",9.2
8,1,8,"26,487",9
9,1,9,"37,354",9.6
10,1,10,"32,794",9.5
11,2,1,"25,610",8.8
12,2,2,"24,194",8.5
13,2,3,"23,910",8.8
14,2,4,"23,131",8.8
15,2,5,"23,320",8.8
16,2,6,"24,361",9.1
17,2,7,"23,717",8.9
18,2,8,"23,437",8.8
19,2,9,"40,791",9.7
20,2,10,"28,920",9.4
21,3,1,"25,513",8.8
22,3,2,"23,154",8.6
23,3,3,"23,388",8.9
24,3,4,"31,858",9.6
25,3,5,"23,834",9
26,3,6,"23,705",8.8
27,3,7,"22,921",8.7
28,3,8,"23,507",9
29,3,9,"89,057",9.9
30,3,10,"26,584",9.2
31,4,1,"30,018",9.1
32,4,2,"46,925",9.7
33,4,3,"25,411",8.9
34,4,4,"24,418",8.8
35,4,5,"23,644",8.8
36,4,6,"43,506",9.7
37,4,7,"26,302",9.1
38,4,8,"47,047",9.7
39,4,9,"39,721",9.6
40,4,10,"39,063",9.7
41,5,1,"26,733",8.5
42,5,2,"23,670",8.5
43,5,3,"22,945",8.5
44,5,4,"23,547",8.7
45,5,5,"23,824",8.6
46,5,6,"26,934",8
47,5,7,"25,993",9
48,5,8,"88,753",9.9
49,5,9,"39,000",9.5
50,5,10,"37,802",9.1
51,6,1,"36,575",8.5
52,6,2,"42,987",9.4
53,6,3,"30,785",8.7
54,6,4,"33,121",9.1
55,6,5,"64,744",9.7
56,6,6,"30,592",8.4
57,6,7,"29,720",8.6
58,6,8,"33,786",8.4
59,6,9,"187,883",9.9
60,6,10,"130,927",9.9
61,7,1,"47,074",8.6
62,7,2,"40,685",8.9
63,7,3,"42,424",9.2
64,7,4,"80,394",9.8
65,7,5,"40,474",8.8
66,7,6,"59,015",9
67,7,7,"58,600",9.4
68,8,1,"123,793",7.5
69,8,2,"121,996",7.8
70,8,3,"203,046",7.4
71,8,4,"155,073",5.5
72,8,5,"180,550",6
73,8,6,"225,789",4
