Episode_Number,Season,Episode,Viewer_Count,IMDB_Rating
1,1,1,"5,176",8.5
2,1,2,"3,906",8.2
3,1,3,"3,704",8.2
4,1,4,"3,476",8
5,1,5,"3,601",8.3
6,1,6,"3,474",8.1
7,1,7,"3,272",7.7
8,1,8,"3,230",8.2
9,1,9,"3,230",8.1
10,1,10,"4,913",9.2
11,1,11,"3,363",8.3
12,1,12,"3,157",8.1
13,1,13,"3,570",8.7
14,1,14,"3,065",8.2
15,1,15,"3,994",9.1
16,1,16,"2,955",7.9
17,1,17,"2,932",7.7
18,1,18,"3,229",8.5
19,1,19,"3,510",8.8
20,1,20,"2,934",7.9
21,1,21,"2,954",8.1
22,1,22,"3,626",8.9
23,2,1,"2,929",8.2
24,2,2,"2,864",8.2
25,2,3,"2,984",8.5
26,2,4,"3,370",8.8
27,2,5,"3,197",8.8
28,2,6,"2,870",8.1
29,2,7,"4,008",9
30,2,8,"2,802",8
31,2,9,"5,833",9.5
32,2,10,"2,855",8.2
33,2,11,"2,832",8.1
34,2,12,"2,916",8.2
35,2,13,"2,697",8
36,2,14,"2,892",8.4
37,2,15,"2,828",8.4
38,2,16,"2,964",8.5
39,2,17,"2,912",8.3
40,2,18,"2,693",8.1
41,2,19,"2,836",8.4
42,2,20,"3,113",8.9
43,2,21,"2,935",8.8
44,2,22,"2,989",8.8
45,3,1,"2,972",8.3
46,3,2,"2,647",7.7
47,3,3,"2,751",8.1
48,3,4,"2,644",7.8
49,3,5,"3,658",9
50,3,6,"2,614",8.1
51,3,7,"2,648",8
52,3,8,"3,652",9.1
53,3,9,"3,505",9
54,3,10,"2,690",8
55,3,11,"2,802",8.5
56,3,12,"2,714",8.2
57,3,13,"3,232",8.8
58,3,14,"2,843",8.7
59,3,15,"2,595",8
60,3,16,"2,842",8.2
61,3,17,"2,612",8.2
62,3,18,"2,578",8.1
63,3,19,"2,584",7.8
64,3,20,"2,813",8.7
65,4,1,"3,003",8.6
66,4,2,"3,137",8.5
67,4,3,"2,589",7.7
68,4,4,"3,078",8.8
69,4,5,"2,684",8.3
70,4,6,"2,564",8
71,4,7,"2,510",7.8
72,4,8,"2,688",8.1
73,4,9,"4,279",9.2
74,4,10,"2,659",8.3
75,4,11,"2,625",8.1
76,4,12,"2,824",8.6
77,4,13,"2,788",8.5
78,4,14,"2,684",8.4
79,4,15,"2,731",8.3
80,4,16,"2,596",7.8
