Episode_Number,Season,Episode,Viewer_Count,IMDB_Rating
1,1,1,"4,271",8.6
2,1,2,"3,034",8.3
3,1,3,"2,852",8.3
4,1,4,"2,756",8.4
5,1,5,"2,655",8.2
6,1,6,"2,595",8.5
7,1,7,"2,535",8.2
8,1,8,"2,421",8.2
9,1,9,"2,739",8.8
10,1,10,"2,492",8.5
11,1,11,"2,580",8.8
12,1,12,"2,250",8.1
13,1,13,"2,295",8.2
14,1,14,"2,433",8.7
15,1,15,"2,210",8.1
16,1,16,"2,204",8.4
17,1,17,"2,271",8.6
18,1,18,"2,488",8.9
19,1,19,"2,243",8.3
20,1,20,"2,297",8.4
21,1,21,"6,216",9.6
22,1,22,"2,398",8.7
23,2,1,"2,320",8.5
24,2,2,"3,406",9.2
25,2,3,"2,089",8
26,2,4,"2,112",8.1
27,2,5,"2,066",8.1
28,2,6,"1,983",8
29,2,7,"2,054",8.4
30,2,8,"2,372",8.9
31,2,9,"2,010",8.5
32,2,10,"2,069",8.6
33,2,11,"1,972",8.2
34,2,12,"2,040",8.6
35,2,13,"2,271",8.7
36,2,14,"2,040",8.5
37,2,15,"1,993",8.6
38,2,16,"2,213",8.8
39,2,17,"2,515",9
40,2,18,"1,953",8.2
41,2,19,"2,269",8.6
42,2,20,"2,780",9.1
43,2,21,"3,003",9.3
44,2,22,"1,916",8.1
45,2,23,"1,964",7.8
46,2,24,"4,135",9.5
47,3,1,"2,516",8.9
48,3,2,"2,040",8.5
49,3,3,"2,134",8.6
50,3,4,"2,595",9
51,3,5,"1,925",8.4
52,3,6,"1,928",8.2
53,3,7,"2,415",8.9
54,3,8,"1,857",8.1
55,3,9,"1,933",8.5
56,3,10,"2,026",8.7
57,3,11,"2,001",8.7
58,3,12,"4,229",9.1
59,3,13,"1,888",8.1
60,3,14,"2,137",8.8
61,3,15,"2,695",9.1
62,3,16,"1,892",8.1
63,3,17,"2,043",8.5
64,3,18,"2,485",9
65,3,19,"1,843",8.3
66,3,20,"1,860",8.3
67,3,21,"1,821",8.4
68,3,22,"1,847",8.5
69,3,23,"1,920",8.5
70,3,24,"2,328",9
71,4,1,"2,619",9
72,4,2,"2,245",8.9
73,4,3,"2,077",8.8
74,4,4,"1,911",8.5
75,4,5,"2,204",8.8
76,4,6,"2,005",8.6
77,4,7,"1,905",8.3
78,4,8,"1,908",8.7
79,4,9,"2,035",8.7
80,4,10,"1,839",8.4
81,4,11,"2,752",9.2
82,4,12,"1,831",8.2
83,4,13,"1,759",8.1
84,4,14,"1,827",8.3
85,4,15,"8,065",9.8
86,4,16,"7,535",9.8
87,5,1,"2,093",8.4
88,5,2,"1,829",8.2
89,5,3,"1,728",8.2
90,5,4,"2,286",9
91,5,5,"1,980",8.6
92,5,6,"1,905",8.6
93,5,7,"1,713",8.3
94,5,8,"1,637",8.1
95,5,9,"2,442",8.9
96,5,10,"1,703",8.3
97,5,11,"1,890",8.4
98,5,12,"1,683",8.1
99,5,13,"1,607",8
100,5,14,"1,596",8
101,5,15,"1,776",8.5
102,5,16,"1,789",8.5
103,5,17,"1,844",8.7
104,5,18,"1,736",8.3
105,5,19,"2,753",9.2
106,5,20,"2,984",9.2
107,5,21,"1,752",8.4
108,5,22,"2,352",9.1
109,5,23,"2,515",9.3
110,5,24,"4,321",9.6
111,6,1,"7,431",9.7
112,6,2,"2,041",8.6
113,6,3,"2,302",9
114,6,4,"1,740",8.5
115,6,5,"1,722",8.5
116,6,6,"1,698",8.4
117,6,7,"1,681",8.2
118,6,8,"1,665",8.3
119,6,9,"2,184",8.9
120,6,10,"2,147",8.9
121,6,11,"1,839",8.7
122,6,12,"1,596",8
123,6,13,"2,361",8.5
124,6,14,"1,688",8
125,6,16,"1,654",8.1
126,6,17,"2,232",8.8
127,6,18,"1,593",8
128,6,19,"1,581",7.9
129,6,20,"1,625",8.1
130,6,21,"2,050",8.9
131,6,22,"3,849",9.6
132,7,1,"2,121",8.3
133,7,2,"1,832",8.7
134,7,3,"1,615",8.3
135,7,4,"1,528",8
136,7,5,"1,596",8.2
137,7,6,"1,524",8.1
138,7,7,"1,816",8.7
139,7,8,"1,515",7.8
140,7,9,"1,611",8.4
141,7,10,"1,497",8
142,7,11,"1,686",8.6
143,7,12,"1,474",7.9
144,7,13,"2,315",8.9
145,7,14,"1,497",8
146,7,15,"2,125",8.6
147,7,16,"2,152",8.9
148,7,17,"1,717",8.5
149,7,18,"1,981",8.9
150,7,19,"1,590",8.5
151,7,20,"1,416",8
152,7,21,"1,423",7.9
153,7,22,"2,326",9.2
154,7,23,"2,152",8.5
155,8,1,"2,487",8.8
156,8,2,"1,727",8.3
157,8,3,"1,669",8.2
158,8,4,"1,528",8
159,8,5,"1,599",8.5
160,8,6,"1,423",8
161,8,7,"1,502",8.3
162,8,8,"1,466",8
163,8,9,"1,491",8.1
164,8,10,"1,443",7.8
165,8,11,"2,389",9.2
166,8,12,"2,024",8.8
167,8,13,"1,429",8
168,8,14,"1,496",8
169,8,15,"1,435",7.5
170,8,16,"1,422",7.7
171,8,17,"1,443",8
172,8,18,"1,537",8.1
173,8,19,"2,234",9
174,8,20,"1,720",8.8
175,8,21,"2,073",9
176,8,22,"4,785",9.3
