Episode_Number,Season,Episode,Viewer_Count,IMDB_Rating
1,1,1,"7,203",8.6
2,1,2,"5,760",8.6
3,1,3,"5,132",8.3
4,1,4,"4,826",8.2
5,1,5,"4,715",8.5
6,1,6,"4,701",8.6
7,1,7,"4,430",8.2
8,1,8,"4,620",7.8
9,1,9,"4,335",8.5
10,1,10,"4,380",8.8
11,1,11,"4,791",9.1
12,1,12,"4,228",8.6
13,1,13,"4,613",8.9
14,2,1,"8,285",9.6
15,2,2,"4,104",8.4
16,2,3,"3,955",8.5
17,2,4,"4,442",9.1
18,2,5,"3,762",8.4
19,2,6,"3,657",8.4
20,2,7,"3,648",8.4
21,2,8,"3,641",8.6
22,2,9,"3,895",8.9
23,2,10,"3,578",8.4
24,2,11,"3,885",8.7
25,2,12,"3,732",8.9
26,2,13,"6,230",9.6
27,3,1,"4,136",8.1
28,3,2,"3,719",8.5
29,3,3,"3,949",8.6
30,3,4,"3,507",8.3
31,3,5,"3,385",8.2
32,3,6,"4,780",9.1
33,3,7,"3,441",8.2
34,3,8,"3,283",8.3
35,3,9,"3,271",8.4
36,3,10,"3,237",8.2
37,3,11,"3,767",9.1
38,3,12,"3,404",8.8
39,3,13,"4,308",9
40,4,1,"3,639",8
41,4,2,"3,258",8.2
42,4,3,"3,404",8.9
43,4,4,"4,101",9.4
44,4,5,"3,068",8.5
45,4,6,"3,166",8.6
46,4,7,"3,008",8.5
47,4,8,"2,889",8.2
48,4,9,"3,046",8.8
49,4,10,"3,935",9.3
50,4,11,"2,935",8.4
51,4,12,"3,060",8.8
52,4,13,"5,724",9.5
53,5,1,"3,196",8.3
54,5,2,"2,701",8.1
55,5,3,"2,597",8.1
56,5,4,"2,686",8.7
57,5,5,"2,483",8
58,5,6,"2,398",7.9
59,5,7,"2,415",8.4
60,5,8,"2,363",8.1
61,5,9,"2,347",8
62,5,10,"2,334",8.4
63,5,11,"2,336",8.4
64,5,12,"3,081",9.1
65,5,13,"3,068",8.5
66,6,1,"5,550",4.2
67,6,2,"4,517",4.1
68,6,3,"4,217",4.2
69,6,4,"4,061",4.3
70,6,5,"4,138",4.4
71,6,6,"4,001",4.2
72,6,7,"4,020",3.8
73,6,8,"6,615",2.5
