Episode_Number,Season,Episode,Viewer_Count,IMDB_Rating
1,1,1,"5,396",7.5
2,1,2,"5,268",8.3
3,1,3,"4,419",7.8
4,1,4,"4,303",8.1
5,1,5,"4,719",8.4
6,1,6,"4,224",7.7
7,2,1,"4,736",8.7
8,2,2,"4,032",8.2
9,2,3,"4,014",8.4
10,2,4,"3,964",8.4
11,2,5,"3,721",8.1
12,2,6,"3,728",8.1
13,2,7,"3,898",8.6
14,2,8,"3,552",8.2
15,2,9,"3,660",8.4
16,2,10,"4,029",8.9
17,2,11,"3,883",8.6
18,2,12,"4,719",9.1
19,2,13,"3,456",8.3
20,2,14,"3,416",7.8
21,2,15,"3,390",8.1
22,2,16,"3,400",8.3
23,2,17,"3,603",8.5
24,2,18,"3,515",8.3
25,2,19,"3,390",8.1
26,2,20,"3,475",8.4
27,2,21,"3,563",8.7
28,2,22,"5,188",9.4
29,3,1,"4,525",9
30,3,2,"3,308",8.2
31,3,3,"3,467",8.5
32,3,4,"3,331",8
33,3,5,"3,245",8.1
34,3,6,"3,386",7.9
35,3,7,"3,313",8.6
36,3,8,"3,467",8.7
37,3,9,"3,465",8.3
38,3,10,"3,669",8.8
39,3,11,"3,297",8.6
40,3,12,"3,346",8.6
41,3,13,"3,522",8.8
42,3,14,"3,252",8.1
43,3,15,"3,277",8.2
44,3,16,"3,795",8.9
45,3,17,"3,260",8.5
46,3,18,"3,709",9
47,3,19,"3,466",8.8
48,3,20,"3,427",8.7
49,3,21,"3,462",8.8
50,3,22,"3,979",9.2
51,3,23,"4,243",9.3
52,4,1,"3,970",8.8
53,4,2,"3,226",8.3
54,4,3,"3,118",8.4
55,4,4,"3,363",8.7
56,4,5,"3,437",8.8
57,4,6,"3,176",8.5
58,4,7,"3,052",8.2
59,4,8,"3,216",8.7
60,4,9,"6,169",9.5
61,4,10,"3,016",8
62,4,11,"3,139",8.6
63,4,12,"3,020",8.3
64,4,13,"2,874",7.8
65,4,14,"4,320",9.3
66,5,1,"3,556",8.8
67,5,2,"2,893",8.3
68,5,3,"2,868",8
69,5,4,"2,750",8.1
70,5,5,"2,843",8
71,5,6,"2,972",8.5
72,5,7,"2,757",8.2
73,5,8,"3,070",8.6
74,5,9,"3,054",8.8
75,5,10,"2,860",8.4
76,5,11,"2,979",8.7
77,5,12,"2,861",8
78,5,13,"8,979",9.7
79,5,14,"2,714",8.2
80,5,15,"2,676",8.1
81,5,16,"2,699",8
82,5,17,"2,933",8.7
83,5,18,"2,746",8.3
84,5,19,"2,730",8.4
85,5,20,"2,714",8.3
86,5,21,"2,979",8.7
