Episode_Number,Season,Episode,Viewer_Count,IMDB_Rating
11,1,1,"9,821",8.4
9,1,2,"5,485",8.2
11,1,3,"5,854",8.7
12,1,4,"4,769",7.7
13,1,5,"4,802",7.1
13,1,6,"4,456",7.3
13,1,7,"4,425",6.8
13,1,8,"5,706",8.9
9,1,9,"4,405",6.2
7,1,10,"4,299",8
8,1,11,"4,547",8.2
10,1,12,"4,235",7.5
16,1,13,"4,927",8.7
8,1,14,"4,145",7.5
9,1,15,"3,753",7.1
9,1,16,"3,707",7.4
7,1,17,"4,100",8.6
6,1,18,"3,650",7.2
2,1,19,"3,723",7.1
7,1,20,"4,400",8.6
6,1,21,"4,224",8.5
3,1,22,"3,535",7.2
5,1,23,"3,513",7.3
3,1,24,"4,268",9.1
8,2,1,"3,760",8.2
9,2,2,"4,088",8.4
9,2,3,"3,629",7.6
5,2,4,"3,517",7.8
5,2,5,"3,939",8.8
8,2,6,"3,697",8.8
5,2,7,"3,569",6.5
7,2,8,"3,598",8.5
8,2,9,"3,331",7.3
11,2,10,"3,387",7.8
8,2,11,"3,240",7.1
7,2,12,"3,222",7.6
9,2,13,"3,616",8.2
12,2,14,"3,692",8.3
7,2,15,"3,066",7.2
11,2,16,"3,588",8.9
10,2,17,"3,505",8.9
7,2,18,"3,137",6.5
7,2,19,"3,219",7.6
10,2,20,"4,122",8.7
7,2,21,"3,212",7.6
10,2,22,"3,188",8.2
9,2,23,"3,261",8
6,2,24,"3,207",8
6,2,25,"3,895",9.3
7,3,1,"3,409",8.7
4,3,2,"3,652",9.2
7,3,3,"3,569",8
9,3,4,"5,230",9.3
6,3,5,"2,977",7.2
8,3,6,"3,087",7.6
5,3,7,"2,914",7.3
5,3,8,"3,120",7.8
4,3,9,"3,123",8.7
5,3,10,"3,179",8.8
4,3,11,"2,841",7.3
5,3,12,"4,000",8.8
7,3,13,"3,410",7.8
6,3,14,"2,940",7.6
5,3,15,"3,048",8.6
6,3,16,"3,028",8.7
5,3,17,"3,449",8.7
7,3,18,"2,791",6
3,3,19,"2,765",7.1
5,3,20,"4,664",9
4,3,21,"2,870",7.8
4,3,22,"3,131",8.3
4,3,23,"2,997",8.5
5,3,24,"2,886",8.7
7,4,1,"2,949",8.6
6,4,2,"4,762",9
8,4,3,"2,741",6.8
4,4,4,"3,067",8.2
8,4,5,"3,189",6.9
9,4,6,"2,786",7.5
9,4,7,"4,030",9.2
8,4,8,"2,969",8.7
7,4,9,"2,833",8.4
5,4,10,"3,315",8.9
5,4,11,"2,660",6.9
6,4,12,"2,992",8.5
6,4,13,"2,927",7.7
7,4,14,"2,919",8.6
7,4,15,"2,678",7.1
8,4,16,"2,585",7.4
5,4,17,"2,759",8.6
7,4,18,"2,701",8.6
6,4,19,"2,570",7.8
8,4,20,"3,687",9.1
5,4,21,"2,637",8.3
4,4,22,"2,610",8
3,4,23,"2,578",8.1
3,4,24,"2,671",8.8
4,5,1,"2,848",8.8
4,5,2,"3,034",9.1
5,5,3,"2,924",8.6
6,5,4,"3,102",8.3
5,5,5,"4,005",8.7
6,5,6,"2,548",7.9
9,5,7,"2,488",7.8
8,5,8,"2,587",7.9
8,5,9,"2,426",7.1
6,5,10,"2,978",7.7
6,5,11,"2,832",8
7,5,12,"4,811",9.4
8,5,13,"2,505",8.4
8,5,14,"2,526",8.6
9,5,15,"2,334",7.6
8,5,16,"2,503",7.9
7,5,17,"2,519",7.6
6,5,18,"2,472",8.3
7,5,19,"2,895",8.7
8,5,20,"2,732",9
6,6,1,"2,574",8.4
8,6,2,"3,021",8.6
11,6,3,"3,512",8.8
12,6,4,"3,193",9.1
12,6,5,"3,015",9
10,6,6,"3,121",8.4
10,6,7,"2,597",7.9
13,6,8,"2,641",7.6
15,6,9,"2,393",8.1
10,6,10,"2,580",8.5
9,6,11,"2,554",8.8
8,6,12,"2,619",9
8,6,13,"2,434",7.5
8,6,14,"3,201",9
5,6,15,"3,011",8.6
7,6,16,"2,243",6.5
9,6,17,"2,263",7.4
6,6,18,"2,720",7.9
9,6,19,"3,093",8.6
10,6,20,"2,379",8.1
7,6,21,"2,768",8.7
9,6,22,"2,311",8.4
6,7,1,"2,261",8
6,7,2,"2,322",8.1
5,7,3,"2,569",8.1
4,7,4,"2,415",8
7,7,5,"2,182",7.5
7,7,6,"2,522",8.4
6,7,7,"2,305",7.8
7,7,8,"2,472",8.3
5,7,9,"2,094",6.8
6,7,10,"2,280",8.2
7,7,11,"2,615",8.3
5,7,12,"3,048",8.5
5,7,13,"2,649",6.3
7,7,14,"2,193",7.5
8,7,15,"2,288",8.2
8,7,16,"2,185",7.6
5,7,17,"2,637",7.2
6,7,18,"2,081",7.8
5,7,19,"2,538",7.6
5,7,20,"2,277",6.2
1,7,21,"2,596",8.6
3,7,22,"2,317",8.8
1,8,1,"2,167",8.4
1,8,2,"2,133",8.5
3,8,3,"2,064",7.7
1,8,4,"2,225",8.3
-,8,5,"2,031",7.8
3,8,6,"2,299",8.5
1,8,7,"2,041",7.8
2,8,8,"1,826",7
2,8,9,"1,828",7
2,8,10,"2,062",7.2
2,8,11,"2,050",8
1,8,12,"1,914",7.6
2,8,13,"2,045",8.1
1,8,14,"2,064",8.5
1,8,15,"2,063",8.4
3,8,16,"1,984",8.3
4,8,17,"1,834",7.4
3,8,18,"1,981",8.1
2,8,19,"1,969",8
2,8,20,"1,983",8.6
2,8,21,"2,299",8.9
3,9,1,"1,856",7.5
3,9,2,"1,813",7.6
3,9,3,"1,838",7.4
1,9,4,"1,937",8
2,9,5,"1,819",7.1
2,9,6,"1,856",7.7
1,9,7,"1,853",7.7
3,9,8,"1,737",7.3
2,9,9,"1,743",7.7
2,9,10,"1,758",7.5
2,9,11,"1,839",7.7
2,9,12,"1,670",7.2
-,9,13,"2,119",7.5
2,9,14,"1,748",7.5
1,9,15,"1,841",7.5
2,9,16,"1,885",7.9
-,9,17,"1,911",8.3
1,9,18,"1,823",7.9
-,9,19,"3,011",8.5
2,10,1,"7,309",8
1,10,2,"5,972",8
3,10,3,"8,145",8
-,10,4,"4,451",7.3
-,10,5,"4,828",6.3
-,10,6,"3,979",7.1
-,11,1,"3,349",6.5
-,11,2,"2,773",7.3
-,11,3,"2,700",7.9
-,11,4,"3,507",8.2
-,11,5,"2,310",8.1
-,11,6,"2,045",7.5
-,11,7,"3,013",8.1
1,11,8,"2,171",8.1
-,11,9,"1,858",6.8
2,11,10,"1,937",7.5
